time/building_num,-0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,total
-0,358,413.1,599.4,157,521.4,319.3,463.7,507.2,468.5,469.9,467.4,568.4,431.8,656.6,563.1,467.4,14,811.6,863.5,306.3,63,843.5,1007.3,2.2,292.2,898.2,605.4,13139.4
1,386,429,599.8,150.1,526.7,328.1,463.3,486.6,476.2,462.9,474.4,583.5,445,655.9,579.4,468.2,14.5,811.7,866.9,311.5,51.5,857.9,992,7.7,291.9,905.9,596.5,13223.1
2,409.6,438.2,600.9,141.7,526.6,323.7,463.8,476.1,476.2,459.3,471.5,590.8,447.1,655.8,584.3,469.2,15,808.4,864.4,320.3,46.5,867.9,988.6,13.4,290.4,909.5,582.9,13242.1
3,432.8,442.6,602.6,137.4,525.1,316.9,464.4,467.4,474.7,455.7,464.2,594.6,442.9,656.1,587.7,470.8,15.5,801.9,859.4,329.7,45,873.5,989.4,16.8,289.4,912.3,569.8,13238.6
4,456.5,444.9,604.8,136.4,522.7,310.3,465.3,460.1,473.1,452.5,455.2,596.6,436.7,656.2,590.5,472.7,15.9,794.1,854.9,339,45.6,876.6,992.7,18.1,289.1,913.6,556.8,13230.9
5,480.5,446.8,607.4,137.9,520.3,304.3,465.6,454,472,449.9,446.8,597.6,430.9,656.3,593,474.6,16.2,786,852.9,348.2,47.6,878.8,997,17.3,289,913.5,543.6,13228
6,502.7,448.6,609.9,140.3,517.8,299.3,464.7,449,471.5,447.8,439.1,597.8,426.8,656.5,595.2,476.7,16.4,778.2,853.6,356.7,50.5,880.6,1001.5,15.2,288.7,911.7,530.5,13227.3
7,520.2,451.3,612.4,142.8,515.6,294.7,460.9,445.4,471.7,446.8,432.5,596.4,424.6,656.8,597.2,478.8,16.7,769.7,856.5,364.3,53.8,883.2,1005.7,11.8,287.8,908.8,518.2,13224.6
8,531.7,453.7,614.3,144.4,513.5,291.1,454.5,442.6,472.3,446.2,425.8,594.1,424.6,657.4,599.1,480.8,16.9,762.1,859.9,370.1,57.3,885,1010,8.2,286.3,904.8,507.2,13213.9
9,534.9,455.6,615.7,144.2,511.4,288.4,445.4,440.7,473.2,446.5,418.5,590.4,426.4,658.1,601,482.6,17.1,754.6,862.4,373.3,60.5,886.2,1014,4.7,284,900.4,498.4,13188.6
10,531,456.9,616.8,143,509.6,286.6,434.8,439.5,474.2,447.2,411.2,586.2,429.1,658.6,602.4,484.1,17.3,747.5,863.1,375,63.4,886.8,1017.3,2.1,281.3,896.7,491.6,13153.3
11,518.5,457.2,617.6,140.5,508.2,285.6,423.1,439.5,475.2,448.6,404,581.7,432.4,658.5,603.1,485.3,17.4,740.8,862.1,375.2,65.9,886.8,1020,-0,278.5,894.1,487.8,13107.6
12,500.5,456.5,618.2,137.2,507.1,285.4,411.9,440.2,476.1,450.3,397.8,577.5,435.5,657.8,602.9,486,17.5,735.1,860.1,374.5,67.9,886.4,1021.8,1.4,275.9,892.7,486.5,13060.7
13,476.6,454.7,618.7,133.1,506.5,285.9,402.5,442.6,477,452.2,392.7,574.3,438.3,656.7,601.5,486.1,17.5,730.6,858.4,373.8,69.5,885.4,1022.6,2.1,273.6,892.7,487.8,13013.4
14,449.1,451.2,618.2,127.5,505.6,288.2,394.7,446.6,477.7,454.4,387.6,570.1,440.7,655.9,599.4,485.6,17.4,727,857.2,370.3,70.9,882.9,1023.6,2.6,271.8,892.4,492.5,12961.1
15,422.4,446.9,617.7,122.4,505.4,290.7,389.7,452,478.3,457.2,384.8,566.3,441.9,655.3,596.5,484.4,17.2,725.2,857.1,365.5,71.6,880.8,1023.7,3.1,270.3,892.1,499.9,12918.4
16,398,441.9,617,117.4,505.5,293.6,388.3,459.5,478.7,460.1,383.5,562.6,442.4,654.3,593.1,482.6,17.1,724.8,858.2,359.9,71.6,878.1,1023.2,3,269.2,891.6,510,12885.2
17,375.6,434.6,615.6,111.8,505.2,298.6,391.4,468.7,478.9,462.7,381.8,559.2,443.2,653,589.2,479.9,16.7,727.2,859.1,351.9,71.4,871.9,1023.3,1.5,268.5,890.5,523.1,12854.5
18,358.6,428.1,614.3,109.1,505.9,303.1,396.6,479.1,478.8,465.7,383.4,555.7,442.4,651.9,585.1,477.4,16.4,729.9,860.4,343.3,70.5,868.5,1022.1,0.8,268.9,889,537.8,12842.8
19,346.2,423,613.3,107.9,507.3,306.7,402.4,490.6,478.7,468.9,387.3,551.8,440.4,651.1,581.4,475.3,16.2,732.8,861.8,334,68.7,866.2,1020.2,0.4,270.4,887.7,552.2,12842.9
20,336.1,418.2,611.8,107.2,508.7,310.4,409.5,501.3,478.2,471.5,390.8,548,438.4,650.8,578.4,473.4,16,737.4,862.5,323.5,66.4,862.5,1018.6,0.8,273.2,886.9,563.8,12844.3
21,328.2,414.2,610,107.3,510.2,313.8,416.8,510.2,477.2,473.7,393.4,544.3,435.8,651.3,576.3,471.8,15.9,742.2,862.3,311.6,63.6,858.7,1016.9,2.4,277.4,887.2,571.3,12844
22,322.1,411.2,607.8,107,511.6,316.9,422.5,517.3,475.7,475.6,394.1,540,432.9,652.2,575.6,470.7,15.8,745.7,861.5,298.2,60.5,855,1015.5,4.2,282.9,889.1,574.4,12836
23,318.1,409.6,605.7,105.5,513,319.2,426.9,521.8,473.7,476.9,392.8,536,429.7,653.1,575.9,469.9,15.8,747.6,860.9,284.7,57.1,851.4,1014.1,6.4,289.1,893.2,572.9,12821
