time/building_num,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,total
0,3819.1,2182.6,1206.9,1691.9,1189,1504.8,347.4,178.4,407.5,421.2,451.7,113.8,207.6,16.8,63,2.6,3.6,313.2,58.5,795.4,40.9,114.5,93.1,15.4,27.3,77,48,15391.2
1,3600.7,2074.9,1074.7,1566.2,1112.5,1374.5,322.9,179.9,385,399.2,418.4,93.3,181.9,19.2,60.6,2.6,2.1,280.7,52.5,788.2,38.5,109.8,90.1,14,22.9,63.7,46.1,14375.1
2,3480.3,1987.5,1052.3,1515.4,1080.5,1329.4,315.9,175.7,377.8,391.4,406.7,95.8,173.9,18.7,60.3,2.6,8.9,263.5,44.8,796.8,37.4,108.2,93,13.5,22.4,59,44.5,13956.2
3,3437.2,1939,1063.5,1513.6,1076.9,1330.1,325.6,169,378,391.8,408.8,103.1,176,18.4,61.6,2.6,19.5,254.1,38.7,815,36.9,108.5,98.4,13.3,24.6,60,44,13908.2
4,3454.7,1926.1,1087.5,1546.3,1090.9,1357.1,349.7,161.1,383.1,397.4,420.2,111.5,184.8,18.6,63.5,8.1,31.2,249.8,36.1,839.3,36.9,110.1,104.9,13.3,29,65.7,44.7,14121.6
5,3516,1944.5,1112.8,1603,1115.5,1396.5,384.4,153.1,390.6,405.9,437.6,118.9,197.7,19.9,65.7,20.6,42.4,248.8,37.4,865.9,37.2,112.3,111.6,13.5,34.9,74.6,46.5,14507.8
6,3603.4,1985.6,1135.3,1673,1145.2,1440.1,426,145.6,399.1,415.6,458.4,124.9,212,22.1,67.8,35.1,52.2,249.7,41.6,892.2,37.6,114.8,117.8,13.7,41.7,85.4,49.2,14985.1
7,3705.3,2043.7,1153.3,1750.6,1178.1,1481.6,470.6,139.5,407,424.9,480.7,128.6,225.8,25.5,69.6,50,60.1,251.6,47.2,915.4,38,117.2,123.1,13.9,48.6,96.6,52.5,15499
8,3805.5,2108.9,1168.6,1826.5,1209.5,1519.9,514.3,134.5,414.2,433.7,503,131.2,237.4,29.6,71.2,64.4,66.2,253.9,52.5,934.6,38.5,119.6,127.6,14.1,55.1,107.4,55.9,15997.8
9,3897.8,2173.4,1180.7,1894.9,1238,1553.8,553.9,130.4,420.1,441.5,523.9,133,246.2,34,72.5,76.9,70.3,256.2,55.9,948.8,38.9,121.9,131.3,14.3,60.6,116.5,59.1,16444.8
10,3979.2,2233.1,1191.3,1953.5,1264.3,1583.9,585.7,127.4,424.9,448.1,542.3,134.3,252.2,38.5,73.5,86.2,72.9,258.8,56.8,958.8,39.3,124.1,134.2,14.5,64.8,123.4,61.6,16827.6
11,4049.5,2285.2,1201,1999.7,1288.1,1609.5,607.4,125.5,428.6,453.6,557.6,135.2,255.7,42.3,74.2,91.3,74.1,261.8,55.5,964.6,39.6,126,136.1,14.7,67.6,127.5,63,17134.9
12,4105.4,2327.2,1210.3,2032.7,1308.4,1630.7,616.4,124.8,431.3,457.9,569.2,135.9,256.8,45.1,74.7,91.6,74,265.3,53,966.9,40,127.7,137.1,14.9,69,128.6,63.3,17358.2
13,4154.4,2357.9,1222.1,2052.8,1327.4,1648.8,613.2,125.2,433.5,461.3,577.1,136.4,256.2,46.2,74.8,87.4,73,269.9,50.9,967.3,40.3,129.3,137.1,15.1,69,127.1,62.4,17516.1
14,4182.1,2372,1230.6,2054.4,1338.3,1661.7,598.6,126.4,434.8,463.7,580.3,137.2,253.9,45.5,74.8,79.5,70.6,274.7,49.9,963.9,40.5,130.6,136.1,15.2,67.5,123.2,60.6,17566.6
15,4190.7,2378.7,1234,2046.3,1344.7,1667.7,573,129.3,434.4,464,579.4,136.5,250.8,43.1,74.5,68.1,66.6,279.2,50.3,956.4,40.7,131.2,134.2,15.3,64.9,117.2,58.2,17529.4
16,4182.7,2375.1,1237.4,2029.7,1348,1669.4,540.4,133.2,433.4,463.3,574.2,135.4,247,39.4,73.9,55.5,61.8,283.8,52,946.5,40.9,131.3,131.4,15.4,61.3,110.2,55.7,17428.3
17,4157.3,2352.1,1241.5,1996.9,1343.5,1670.8,506.2,136.6,433.1,462.9,564.5,136.1,242.6,34.8,73.4,43.8,56.5,288.8,54.7,936,41,131.6,128.4,15.5,56.9,103.1,53.4,17262
18,4122.4,2330.8,1237.5,1961.6,1335.9,1663.4,469.9,141.7,430.5,460.1,552,134.4,238.4,30.2,72.5,32.4,49.8,293,57.2,921.6,41,130.7,124.4,15.5,52,95.9,51.4,17046.2
19,4083.1,2311.9,1232,1927.7,1326.9,1648.7,435.1,148.1,426.7,455.4,537.1,131.2,233.9,25.9,71.3,22.4,42.2,296.4,58.5,904.2,41,128.8,119.6,15.5,46.8,89.1,49.9,16809.4
20,4042.1,2288.4,1231.5,1890.5,1314.6,1631.8,405.7,154.3,423.2,450.7,520.3,128.5,229.1,22.2,70.1,14.7,34.7,299.3,59,886,41,126.6,114.8,15.5,41.7,83.7,49,16569
21,4004,2261.8,1232.8,1850.8,1300.3,1612.4,382.6,160.2,419.7,446.1,502.8,126.2,224.5,19.4,68.8,8.9,27.3,301.8,58.7,867.5,41,124.2,110.1,15.5,37.1,79.7,48.3,16332.5
22,3967.8,2231.4,1232.8,1809.8,1284,1589.9,366.5,165.8,415.8,441.3,484.9,123.9,220.2,17.6,67.5,4.9,19.9,303.5,58.1,848.3,40.9,121.5,105.4,15.4,33,77.2,47.7,16095
23,3938.3,2196.6,1233.9,1771.1,1268.2,1566.3,356.4,170.9,412.3,436.8,467.5,121.9,216.5,16.6,66.2,2.6,13.1,305.1,57.8,830.2,40.8,118.9,101,15.4,29.6,76.3,47.2,15877.5
